         188107 function calls (185585 primitive calls) in 19.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.002    0.000    0.009    0.000 sre_compile.py:412(_compile_info)
      534    0.002    0.000    0.003    0.000 sre_parse.py:153(__len__)
  796/792    0.002    0.000    0.009    0.000 {method 'encode' of 'str' objects}
        4    0.002    0.001    0.002    0.001 {method 'write' of '_ssl._SSLSocket' objects}
    152/5    0.002    0.000    0.619    0.124 <frozen importlib._bootstrap_external>:667(exec_module)
        4    0.002    0.001    0.421    0.105 connection.py:51(create_connection)
      825    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       16    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       13    0.002    0.000    0.027    0.002 __init__.py:359(namedtuple)
        8    0.002    0.000    0.051    0.006 cookies.py:119(extract_cookies_to_jar)
      431    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1072(_path_importer_cache)
      321    0.002    0.000    0.003    0.000 socket.py:81(<lambda>)
      169    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
      179    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__init__)
      120    0.002    0.000    0.003    0.000 ssl.py:203(_dnsname_match)
       58    0.002    0.000    0.150    0.003 sre_compile.py:531(compile)
        1    0.002    0.002    0.002    0.002 entities.py:1(<module>)
      156    0.002    0.000    0.003    0.000 sre_parse.py:312(_class_escape)
       76    0.002    0.000    0.002    0.000 _collections.py:180(__iter__)
      236    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      321    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:406(cached)
       28    0.002    0.000    0.006    0.000 ipaddress.py:2158(__init__)
        4    0.002    0.000    0.002    0.000 {method 'peer_certificate' of '_ssl._SSLSocket' objects}
        1    0.002    0.002    0.005    0.005 six.py:1(<module>)
      304    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        4    0.001    0.000    0.038    0.010 adapters.py:240(build_response)
       80    0.001    0.000    0.688    0.009 {method 'readline' of '_io.BufferedReader' objects}
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
      734    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       40    0.001    0.000    0.003    0.000 message.py:463(get)
      152    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:834(path_stats)
      172    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:419(parent)
